id,nombre
2,100/100 Wapizima
3,14 De Febrero Coleccion
4,150/150 Wapizima
5,180/180 Wapizima
6,220/220 Wapizima
7,ALMON COVER WAPIZIMA 57g
8,ALMOND PINK COVER WAPIZIMA 57g
9,ALMOND PINK WAPIZIMA 28g
11,Afrodita Diosas Coleccion
12,Almond
13,Almond 28g
14,Atenea Diosas
15,Atenea Diosas Coleccion
16,Blanco 2oz Wapizima
17,CAMUFLAJE WAPIZIMA 28g
18,CAPUCCINO
19,CAPUCCINO COVER WAPIZIMA 57g
20,CINNAMON COVER WAPIZIMA 57g
21,COTTON CANDY COVER WAPIZIMA 1oz
22,COVER BROWN COVER WAPIZIMA 57g
23,COVER NATURAL WAPIZIMA 28g
24,COVER NATURAL WAPIZIMA 57g
25,COVER PINK WAPIZIMA 28g
26,COVER PINK WAPIZIMA 57g
27,COVER ROSE GOLD WAPIZIMA 28g
28,COVER ROSE GOLD WAPIZIMA 57g
29,COVER SALMON WAPIZIMA 28g
30,Camuflage 57g Wapizima
31,Camuflaje
32,Cinnamon 28g Wapizima
33,Corazones Fiusha
34,Corazones Menta
35,Corazones Morados
36,Corazones Rojos
37,Cover Brow Wapi 28g
38,Cristal 57gr
39,Cristal Clear Wapi 2oz
40,Cristal Premium 28gr
41,DESHIDRATADOR DE UÑAS WAPI
42,DIOSAS AFRODITA 1oz
43,DIOSAS ARTEMISAS 1oz
44,DIOSAS COLECCION VENUS
45,DIOSAS HERA 1oz
46,DIOSAS MELODY 1oz
47,DIOSAS PANDORA 1oz
48,DIOSAS SELENE 1oz
49,DIOSAS VENUS 1oz
50,Decoracion Naturaleza Muerta
51,Diana Diosas Coleccion
52,EFECTO PERLA WAPIZIMA
53,FINISH SOLUCION WAPIZIMA
54,Forever Coleccion
55,GAMA OJO DE GATO CEREZA
56,GAMA OJO DE GATO DIAMANTE ARCOIRIS (A)
57,GAMA OJO DE GATO DIAMANTE ARCOIRIS (B)
58,GAMA OJO DE GATO DIAMANTE REFLEJANTE
59,GAMA OJO DE GATO NIEBLA (A)
60,GAMA OJO DE GATO NIEBLA (B)
61,GAMA OJO DE GATO NIEBLA (C)
62,Glitter Pink Coleccion
63,Glitter Plata Coleccion
705,AR011 FOREST
64,Glitter Rojo Coleccion
65,Glitter Rose Coleccion
66,Hera Diosas Coleccion
67,Hoja Extra Fina Dorado
68,Hoja Extra Fina Lila
69,Hoja Extra Fina Oro
70,Hoja Extra Fina Plata
71,Hoja Extra Fina Roja
72,Hoja Extrafina Rosa
73,KIT QUEEN WAPIZIMA
74,Kit Sandia Spa
75,Kit Mandarina
76,LIMPIA PINCEL WAPIZIMA
77,LIPSTIC IVETTE COVER WAPIZIMA 1oz
78,LUZ DE LUNA OJO DE GATO
79,LUZ DE LUNA OJO DE GATO
80,MAGIC COVER WAPIZIMA 57g
81,MAGIC WAPIZIMA 28g
82,MONOMERO FLOWERS WAPIZIMA
83,MONOMERO LOVE
84,MONOMERO MANDARINA WAPIZIMA
85,MONOMERO MANGO WAPIZIMA
86,MONOMERO PIÑA WAPIZIMA
87,MONOMERO ROSE WAPIZIMA
88,MONOMERO WATERMELON WAPIZIMA
89,Magic
90,Melody Diosas Coleccion
91,Metal Rose Gold 57gr Wapizima
92,Metal Rose Gold 28g Wapizima
93,Milk Premium 2oz WAPIZIMA
94,Minerva Diosas Coleccion
95,Mix Love Dorado
96,Mix Love Rojo
97,Mix Love Tornasol
98,Mucho Amor Rojo Coleccion
99,Mucho Amor Rosa Coleccion
100,NATURAL BROWN COVER WAPIZIMA 57g
101,NATURAL BROWN WAPIZIMA 28g
102,NATURAL SHINE COVER WAPIZIMA 57g
103,NATURAL SHINE WAPIZIMA 28g
104,Natural
105,Natural Shine
106,PEACH FUZZ 1OZ WAPIZIMA
107,PEACH FUZZ COVER WAPIZIMA 57g
108,PETAL COVER WAPIZIMA 57g
109,PETAL PINK COVER WAPIZIMA 57g
110,PETAL PINK WAPIZIMA 28g
111,PETAL ROSE COVER WAPIZIMA 57g
112,PINK SALMON COVER WAPIZIMA 57g
113,PINK SALMON WAPIZIMA 28g
114,PINK SHINE COVER WAPIZIMA 57g
115,PINK SHINE WAPIZIMA 28g
116,Pasion Coleccion Acrilico
117,Petal 28g Wapizima
118,Petal Rose 28g Wapizima
119,Protein Bond Wapizima
120,Puro Love Colecccion
121,REMOVEDOR DE CUTICULA WAPI
122,RESINA EXTRA FUERTE WAPI
123,Resina Extra Fuerte Wapizima 15ml
124,Rojo Bonito Wapi Color
125,Rose
126,SANI SPRAY FLOWERS WAPIZIMA
127,SANI SPRAY MANGO
128,SANI SPRAY ROSE
129,SANI SPRAY WAPI
130,SANI SPRAY WATERMELON
131,STRON PINK COVER WAPIZIMA 57g
132,STRONG PINK WAPIZIMA 28g
133,SYNERGY WIPE WAPI
134,Sani Spray Mango 240ml
135,Sany Spary Rose 240ml
136,Sany Spray 240ml
137,Selene Diosas Coleccion
138,Spa Bombas Efervecentes Wapi
139,TINTA DE ALCOHOL MUSSA
140,Top Coat Tokio
141,Vino Wapicolors
142,WAPIZIMA EFECTO ORO
143,WAPIZIMA KILISNKY 3D MINI
144,WAPIZIMA KOLINSKY #10
145,WAPIZIMA KOLINSKY #12
146,WAPIZIMA KOLINSKY #8
147,WAPIZIMA KOLISNKY 3D
148,100/100 Sweet
149,180/180 Sweet
150,180/220 Buffer Sweet
151,240/240 Sweet
152,320/320 Sweet
153,80/80 Sweet
154,Jelly Cherry Pop 1 y 2
155,Jelly Citricos 1 Y 2
156,Jelly Coconut Sun
157,Limaton 100/100
158,Limaton 80/80
159,Sanadalias 3 pares
160,Tea Tree Antimicotico Sweet
161,ACRILICO MEDICADO 1 OZ CRYSTAL O ROSA
162,ALICATE RECTA ECONOMICA (PROFESIONAL)
163,ALOE UREA 125 ML (MEDIANO)
164,ALOE UREA 250 ML (GRANDE)
165,Aceite De Citricos 125 Ml ( Rojo)
166,Agua Bidestilada 1 L
167,Aloe Urea 60 Ml
168,Biotina
169,CLEAN FEET DESINFECTANTE DE TOALLAS 480 ML
170,CREMA HIDRATANTE EUCALIPTO 150G
171,Clean & Feet Mini (250ml)
172,Crema Extra Hidratante De Eucalipto 90g
173,Desinfectante Areas Y Piel 125 ML Chico/Mediano
174,Desinfectante Areas Y Piel 250 ML
175,Desinfectante Areas Y Piel 60 Ml (mini)
176,Desinfectante Areas Y Piel GALON 4L
177,Desinfectante De Calzado 60ML
178,ESPUMA CEREZA 250ML
179,ESPUMA LAVANDA
180,EXFOLIANTES DE CEREALES 12 OZ
181,Exfoliante Berry 250 Ml
182,Exfoliante De Cafe 300g
183,Exfoliante Lima Limon 200 Gr
184,Exfoliante Shalqi 250 Ml
185,Fenol 250 Ml
186,Fungicida Normal O Diabetico
187,GEL PARA PIES CANSADOS (GRANDE) 250 ML
188,GEL PARA RESEQUEDAD 100ML
189,Gel Para Pies Cansados 150 Ml (Mini)
190,Gel Para Pies Cansados 200ml
191,Gel Para Resequedad 200Ml (GRANDE)
192,Gotas Tea Tree 5ml (mini)
193,HEMOSTATICO SHANTI 60 ML
194,Hidratante De Citricos (rojo)
195,Hidratante Deep 125 Ml (azul)
196,Jabon Zeep 500ml Clinico
197,Kit Bag Pedi Chico
198,MASCARILLA CHOCOMENTA 100GR
199,MASCARILLA CHOCOMENTA 100GR
200,MILD LEMON Reblandecedor 250 Ml
201,MILD LEMON Reblandecedor 500Ml
202,Mascarilla De Piña Y Kiwi 100gr
203,Mascarilla De Uva 100gr
204,Medigel
205,Monomero Sara Apolinar 2oz
206,PUNTA BOLA DE TUNGSTENO PAQUETE DE 3
207,Pomada Crema Dolor Plantar (Relajante)
208,Pomada Doloplantar 40gr
209,Pomada Reparadora De Talones 150ml
210,Pomada Reparadora De Talones 90G
211,Red Power 125 Ml (mini)
212,Red Power 250 Ml (grande)
213,SALES MINERALES CON LIMON O NARANJA (MINI) 100GR
214,SALES MINERALES CON LIMON O NARANJA 200GR
215,SANITIZER De Areas Y Piel 500ml
216,SANITIZER Desinfectante Areas Y Piel 1L
217,SPRAY ANTIOLOR DE PIES
218,STERIMAX 300ML
219,Sal Mineral (Naranja O Limon 500gr)
220,Sales Minerales Con Naranja
221,Sales Minerales De Limon 1kg
222,Sales Minerales De Naranja
223,Sales Minerales De Naranja 1kg
224,Sales Minerales Limon O Naranja Sara
225,Shampo De Piña 250 Ml (chico)
226,Shampo De Piña 500ML
227,Spray ANTITRANSPIRANTE Y Antiolor 60 Ml
228,Steribon 1lt
229,Steribon 500 Ml (chico)
230,Sterimax Mini 60 Ml (esterilizador)
231,Talco Neutro Con Mentol Sara Apolinar
232,UREA ZELEN BIOSEGURIDAD 90g
233,Urea Dermatomicosis
234,180/220 Nail Teach
235,Bola Roja
236,Bullet Rojo
237,C.04
238,C.05
239,C.07
240,C.07
241,C.111
242,C.112
243,C.114
244,C.118
245,C.35
246,C.36
247,CL.223 5mm
248,CL.S01
249,CL.S02
250,Charola Esterilizar
251,Cilindro Rojo
252,Conica Carburo Debaste Roja/Azul
253,Conne Redondeado
254,Diamante Zanahoria
255,ES.03
256,FLAMA AZUL CON PUNTA 2.1/8MM
257,FLAMA ROJA 2.1/8MM
258,Flama Azul 2.3/10mm
259,Flama Azul 2.01/10mm
260,Flama Roja 2.1/10mm
261,Flama Roja 2.3/10mm
262,Flama Tornado 2.1/12 Rojo
263,Flama Tornado 2.3/12
264,Frustum Azul 3.1/10mm
265,Frustum Roja 4/9
266,KD 712
267,KD.701
268,KD.702
269,KD.703
270,KD.704
271,KD.711
272,KD.718
273,KDM.713
274,KDN.720
275,KDN.721
276,Kd.710
277,Lima Lavable 180/220 Nghia
278,Mandil Nghia Pro
279,N.03
280,N.04
281,N.05
282,N.118
283,NL.202
284,NL.203 16ML
285,NL.205
286,NL.208
287,Oil Kodi
288,P.04
289,P.08
290,P.12
291,P.13
292,P.14
293,P.15
294,P.17
295,P.26 2.00mm
296,P.26 2.5mm
297,PUNTA SILICON GDE NAIL TECH
298,PUNTA SILICON VERDE NAIL TECH
299,Pera Baby
300,Pera Delgada Roja/Amarillo
301,Pododisco 25mm/180
302,Removedor De Cuticula Kodi
303,Repuesto 35mm 180
304,Sponge 35mm/320
305,T.10
306,T.11
307,Top Coat Kodi
308,005 Gc Nails
309,22
310,06 Gc Nails Gel
311,084 CABARET GEL GC NAILS
312,10 Gc Gel
313,10 King Color Mc
314,14 BUGAMBILIA GC NAILS
315,18 Gc Nails Gel
316,180/180 Rombo Mc
317,240/240 MC
318,8 King Color Mc
319,9 King Color Cover Mc
320,ABLANDADOR DE CUTICULA MC
321,ACEITE DE CUTICULA
322,ACEITE DE CUTICULA MARIA CIBELES
323,ACEITE PARA CUTICULA GC 9ml
324,ACEITE PARA MASAJE LAVANDA MC
